"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:09 GMT 2022","28696","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:17:59 GMT 2022","378178","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:12:53 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:12:53 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:13:57 GMT 2022","136802","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:40 GMT 2022","59025","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:12:53 GMT 2022","516","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:12:53 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:58 GMT 2022","77346","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:14:44 GMT 2022","111530","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:11:55 GMT 2022","14456","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:52 GMT 2022","71089","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:08 GMT 2022","27545","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:12:08 GMT 2022","27480","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Mon Jul 11 09:11:41 GMT 2022","Mon Jul 11 09:11:43 GMT 2022","2536","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Mon Jul 11 09:12:53 GMT 2022","Mon Jul 11 09:13:39 GMT 2022","46444","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
