"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"failed","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:46:29 GMT 2022","859544","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Mon Jul 11 14:32:10 GMT 2022","Mon Jul 11 14:32:10 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
