"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:10:52 GMT 2022","67715","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:43 GMT 2022","4088","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:43 GMT 2022","4128","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:10:58 GMT 2022","73672","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:10:59 GMT 2022","74043","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:10:14 GMT 2022","35662","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:39 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:39 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:10:09 GMT 2022","30641","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:39 GMT 2022","70","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:17:16 GMT 2022","451876","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:10:51 GMT 2022","66118","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:39 GMT 2022","57","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Sat Jul 09 13:09:45 GMT 2022","Sat Jul 09 13:10:21 GMT 2022","36432","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:09:39 GMT 2022","107","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Sat Jul 09 13:09:39 GMT 2022","Sat Jul 09 13:10:48 GMT 2022","69248","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
