"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:10:52 GMT 2022","107102","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:16:23 GMT 2022","85839","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","249","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:24:58 GMT 2022","600361","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:15:24 GMT 2022","26194","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"failed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:19:05 GMT 2022","600154","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","248","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:47 GMT 2022","42134","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","249","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:25:10 GMT 2022","612167","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","249","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:19:49 GMT 2022","291990","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:16:34 GMT 2022","96488","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:30 GMT 2022","25540","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:32:58 GMT 2022","1080695","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:12 GMT 2022","7589","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:26 GMT 2022","21157","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:32:58 GMT 2022","1080651","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","250","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","303","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:41 GMT 2022","36934","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:37 GMT 2022","32982","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:32:58 GMT 2022","1080610","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"failed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:23:17 GMT 2022","499330","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:15:21 GMT 2022","23277","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"skipped","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:14:58 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","248","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Wed Jul 13 09:09:05 GMT 2022","Wed Jul 13 09:09:05 GMT 2022","251","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:15:51 GMT 2022","53608","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Wed Jul 13 09:14:58 GMT 2022","Wed Jul 13 09:15:18 GMT 2022","20847","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
